trial_id,km,ambiente_seca,ambiente_umida,ct,fc,ibutg,interna,interna_pele,pacing,pele,pse,st,tpeito,umidade_absoluta,umidade_relativa,velocidade,vento
0,1,32.70,28.55,1.00,168.00,29.80,37.25,2.29,6.18,34.96,6.00,4.00,33.60,0.03,74.00,9.70,0.00
0,2,32.80,28.80,1.00,178.00,30.00,37.75,2.60,6.00,35.15,7.00,4.00,32.60,0.03,74.00,10.00,0.00
0,3,32.90,28.55,1.00,180.00,29.86,38.23,3.10,5.97,35.13,8.00,5.00,34.20,0.03,71.00,10.06,0.00
0,4,33.00,28.30,1.00,187.00,29.71,38.70,3.51,5.95,35.19,9.00,4.00,32.60,0.02,68.00,10.09,0.00
0,5,33.00,28.40,1.00,190.00,29.78,39.14,3.68,5.93,35.46,10.00,5.00,33.40,0.03,69.50,10.11,0.00
0,6,33.00,28.50,1.00,192.00,29.85,39.59,3.66,5.94,35.93,12.00,5.00,35.20,0.03,71.00,10.09,0.00
0,7,33.00,28.25,2.00,194.00,29.68,39.93,3.90,5.92,36.03,13.00,5.00,35.80,0.03,69.50,10.14,0.00
0,8,33.00,28.00,2.00,193.00,29.50,40.26,3.93,5.98,36.33,15.00,5.00,33.60,0.02,68.00,10.03,0.00
0,9,33.00,28.05,2.00,195.00,29.54,40.52,4.36,6.00,36.16,16.00,6.00,35.40,0.02,68.00,10.00,0.00
0,10,33.00,28.10,2.00,199.00,29.57,40.75,4.64,5.97,36.11,18.00,6.00,35.00,0.02,68.00,10.06,0.00
1,1,33.00,28.25,2.00,136.00,29.68,36.31,2.47,6.25,33.84,7.00,5.00,33.60,0.03,69.50,9.60,0.00
1,2,33.00,28.50,2.00,143.00,29.85,36.70,2.66,6.23,34.04,7.00,5.00,33.00,0.03,71.00,9.64,0.00
1,3,33.05,28.45,3.00,146.00,29.83,37.19,2.73,6.22,34.46,9.00,5.00,34.20,0.03,71.00,9.64,0.00
1,4,33.10,28.40,3.00,152.00,29.81,37.56,3.44,6.20,34.12,10.00,6.00,31.60,0.03,71.00,9.68,0.00
1,5,33.05,28.45,3.00,156.00,29.83,38.01,3.24,6.20,34.77,13.00,6.00,32.20,0.03,71.00,9.68,0.00
1,6,33.00,28.50,3.00,164.00,29.85,38.35,3.68,6.21,34.67,14.00,6.00,34.00,0.03,71.00,9.67,0.00
1,7,33.00,28.70,3.00,169.00,29.99,38.59,3.55,6.17,35.04,15.00,7.00,34.20,0.03,71.00,9.73,0.00
1,8,33.00,28.90,3.00,169.00,30.13,38.89,4.12,6.15,34.77,15.00,7.00,33.40,0.03,71.00,9.75,0.00
1,9,33.00,28.70,4.00,179.00,29.99,39.19,3.86,6.14,35.33,17.00,7.00,35.40,0.03,71.00,9.77,0.00
1,10,33.00,28.50,4.00,188.00,29.85,39.55,4.44,6.09,35.11,17.00,7.00,34.80,0.03,71.00,9.85,0.00
2,1,32.50,27.50,4.00,129.00,29.00,36.77,3.45,7.47,33.32,13.00,7.00,34.20,0.02,69.00,8.04,0.00
2,2,33.00,28.00,4.00,137.00,29.50,36.73,3.48,6.85,33.25,14.00,7.00,33.00,0.02,67.00,8.76,0.00
2,3,33.50,28.00,4.00,145.00,29.65,37.03,2.78,6.63,34.25,14.00,7.00,34.40,0.02,64.50,9.05,0.00
2,4,34.00,28.00,4.00,145.00,29.80,37.55,3.19,6.43,34.36,16.00,7.00,32.80,0.02,62.00,9.33,0.00
2,5,33.50,28.50,4.00,137.00,30.00,37.87,3.44,6.48,34.43,16.00,7.00,32.60,0.03,67.00,9.26,0.00
2,6,33.00,29.00,4.00,137.00,30.20,38.12,2.69,6.46,35.43,17.00,7.00,35.80,0.03,72.00,9.28,0.00
2,7,33.00,29.00,4.00,144.00,30.20,38.42,3.06,6.51,35.36,17.00,7.00,35.20,0.03,72.50,9.22,0.00
2,8,33.00,29.00,4.00,154.00,30.20,38.58,2.93,6.48,35.65,18.00,7.00,33.40,0.03,73.00,9.26,0.00
2,9,33.00,29.00,4.00,155.00,30.20,38.84,3.87,6.55,34.97,18.00,7.00,35.40,0.03,73.00,9.16,0.00
2,10,33.00,29.00,4.00,155.00,30.20,38.90,3.32,6.50,35.58,20.00,7.00,35.20,0.03,73.00,9.23,0.00
3,1,33.00,28.00,1.00,119.00,29.50,36.62,2.58,6.62,34.04,7.00,4.00,34.60,0.02,67.00,9.07,0.00
3,2,33.00,28.00,1.00,134.00,29.50,36.96,2.25,6.48,34.71,9.00,4.00,34.00,0.02,67.00,9.25,0.00
3,3,33.00,28.50,2.00,134.00,29.85,37.19,1.83,6.11,35.36,9.00,5.00,34.80,0.03,70.00,9.82,0.00
3,4,33.00,29.00,2.00,143.00,30.20,37.53,2.08,6.03,35.45,11.00,5.00,33.00,0.03,73.00,9.96,0.00
3,5,33.00,29.00,3.00,143.00,30.20,37.98,2.49,6.00,35.49,13.00,6.00,33.20,0.03,73.00,10.00,0.00
3,6,33.00,29.00,3.00,148.00,30.20,38.36,3.13,6.00,35.23,14.00,6.00,35.60,0.03,73.00,10.00,0.00
3,7,33.00,29.00,3.00,149.00,30.20,38.72,2.64,5.98,36.08,15.00,6.00,34.60,0.03,73.00,10.04,0.00
3,8,33.00,29.00,3.00,156.00,30.20,39.06,3.08,5.97,35.98,15.00,6.00,33.60,0.03,73.00,10.05,0.00
3,9,33.00,28.50,4.00,158.00,29.85,39.39,3.43,5.96,35.96,18.00,7.00,35.20,0.03,70.00,10.07,0.00
3,10,33.00,28.00,4.00,164.00,29.50,39.72,3.67,5.91,36.05,19.00,7.00,35.60,0.02,67.00,10.15,0.00
4,1,33.25,29.00,1.00,129.00,30.28,36.88,4.43,7.00,32.45,9.00,4.00,34.80,0.03,74.00,8.57,0.00
